Title,Location,No of Bedrooms,No of Bathrooms,Description,Price
4 Bed House with En Suite at Himidi Close,"Himidi Close, Karen",4,5,Exquisite 4 bedroom house for rent in Karen,"KSh 280,000/ month"
5 Bed Townhouse with Staff Quarters in Kitisuru,"Kitisuru, Westlands",5,6,A family home in a gated community,"KSh 550,000/ month"
4 Bed Townhouse with En Suite in Westlands Area,"Grivelia grove westland, Westlands Area, Westlands",4,4,A 4bdrm townhouse to let in westland.,"KSh 270,000/ month"
4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,4,4,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR  RENT IN K...,"KSh 350,000/ month"
4 Bed Townhouse with En Suite in Lavington,Lavington,4,4,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR RENT IN LA...,"KSh 300,000/ month"
4 Bed Townhouse with En Suite at Lavington,Lavington,4,4,✨ Exclusive 4-Bedroom Villas in a Private Gate...,"KSh 280,000/ month"
4 Bed House with En Suite in Muthaiga,Muthaiga,4,4,Executive 4 bedrooms Maisonette,"KSh 250,000/ month"
4 Bed House with En Suite at New Kitisuru,"New Kitisuru, Kitisuru, Westlands",4,4,Rustic 4-Bedroom House Plus Dsq  ( COMES UNFURN...,"KSh 400,000/ month"
4 Bed Townhouse with En Suite in Ridgeways,Ridgeways,4,4,Elegantly done 4 Bedrooms Town house,"KSh 300,000/ month"
3 Bed House with En Suite at Karen,Karen,3,2,3 bedroom house to rent in Karen,"KSh 100,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,🌟 Unparalleled Luxury 4-Bedroom Villa for Rent...,"KSh 300,000/ month"
3 Bed Townhouse with En Suite in Riverside,"Riverside, Westlands",3,3,Elegant & Stylish 3-Bedroom Townhouse for Rent...,"KSh 300,000/ month"
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",4,4,Stunning Four-Bedroom Cottage for Rent in Rossl...,"KSh 650,000/ month"
4 Bed House with En Suite in Westlands Area,"Westlands Area, Westlands",4,4,🌟 Exclusive 4-Bedroom Bungalow for Rent in Wes...,"KSh 350,000/ month"
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",4,4,🌟 Exclusive 4-Bedroom Family Home for Rent in...,"KSh 300,000/ month"
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",4,4,Rustic Elegance: Four-Bedroom Cottage for Rent...,"KSh 400,000/ month"
4 Bed House with En Suite at Loresho,"Loresho, Westlands",4,4,Charming 4-Bedroom Cottage with DSQ to Let in L...,"KSh 180,000/ month"
4 Bed Townhouse with En Suite in Rosslyn,"Rosslyn, Westlands",4,4,Spacious Four Bedroom Townhouse for Rent in Ros...,"KSh 350,000/ month"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,4,4,A MODERN 4 BEDROOM ALL ENSUITE TO LET IN INEZA...,"KSh 285,000/ month"
3 Bed House with En Suite in Runda,"Runda, Westlands",3,3,Charming & Equistic Three Bedroom House  for Re...,"KSh 323,100/ month"
4 Bed Townhouse with Staff Quarters in Kamakis,"Kamakis, Ruiru",4,5,"4 Bedroom townhouse for rent in Ruiru,Kamakis.","KSh 130,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Elegant Four-Bedroom House for Rent in Runda,"KSh 300,000/ month"
5 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",5,6,🌟 Diplomatic Sanctuary: A Hidden Gem with UN-A...,"KSh 1,200,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Comfy 5-Bedroom House with DSQ  for Rent in Run...,"KSh 500,000/ month"
5 Bed House with En Suite in Karen,Karen,5,5,🌟 Experience the Ultimate in Luxury Living in...,"KSh 500,000/ month"
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",4,4,Oasis Four-Bedroom Cottage for Rent in Rosslyn,"KSh 570,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Luxurious 5-Bedroom House for Rent in Runda,"KSh 450,000/ month"
4 Bed House with En Suite at Karen,Karen,4,4,✨ Unlock the Door to Your Dream Home in This 4...,"KSh 250,000/ month"
3 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",3,3,Modern and Cozy Three-Bedroom Furnished Apartme...,"KSh 200,000/ month"
5 Bed Villa with En Suite in Runda,"Runda, Westlands",5,5,Luxurious 5-Bedroom Villa for Rent in Runda,"KSh 640,000/ month"
3 Bed House with En Suite at Karen,Karen,3,2,Beautiful Three bedroom Cottage,"KSh 300,000/ month"
4 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",4,4,🌟 Magnificent Stand-Alone Cottage for Rent in...,"KSh 450,000/ month"
3 Bed House with En Suite in Runda,"Runda, Westlands",3,3,✨ EXTRAORDINARY FULLY FURNISHED 3-BEDROOM GUES...,"KSh 170,000/ month"
5 Bed Townhouse in Lavington,Lavington,5,6,Fully furnished home in a gated compound,"KSh 400,000/ month"
3 Bed House with En Suite at Mukima,"Mukima, Nanyuki",3,2,Beautiful 3 bedroom house on 2 acres for rent...,"KSh 85,000/ month"
5 Bed House with En Suite in Thigiri,"Thigiri, Westlands",5,4,5 bedroom house to rent in Thigiri,"KSh 520,000/ month"
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",5,5,5 bedroom house to rent in kitisuru,"KSh 450,000/ month"
4 Bed Villa with En Suite in Kiambu Road,Kiambu Road,4,5,A NEWLY BUILT MODERN SPACIOUS FOUR BEDROOM VILL...,"KSh 290,000/ month"
3 Bed House with Garden in Kenyatta Road,Kenyatta Road,3,2,🏡 Spacious 3-Bedroom Master En-Suite for Rent...,"KSh 70,000/ month"
5 Bed House with En Suite at Kileleshwa,"kileleshwa, Kileleshwa",5,6,Unique 5 Bedroom Townhouse for Rent in Kilelesh...,"KSh 500,000/ month"
4 Bed Townhouse with En Suite at Ridgeways,"Runda, Ridgeways, Kiambu Road",4,4,Ridgeways Estate – Four Ways Junction :  4 bedr...,"KSh 170,000/ month"
3 Bed House with En Suite at Kilimani,"Kilimani, Dennis Pritt",3,2,Kilimani - 3 Bedroom Maisonette - To Let,"KSh 130,000/ month"
2 Bed House with En Suite at Westlands,"westlands, Westlands Area, Westlands",2,2,Modern & Newly Furnished 2 bedroom Apartment in...,"KSh 220,000/ month"
4 Bed House with En Suite at Gigiri,"003, gigiri, Gigiri, Westlands",4,4,Stunning Four-Bedroom House for Rent in Gigiri,"KSh 360,000/ month"
5 Bed House with En Suite at Gigiri,"003, gigiri, Gigiri, Westlands",5,5,Charming Five-Bedroom House for Rent in Gigiri,"KSh 440,000/ month"
3 Bed Townhouse with En Suite at Ridgeways,Ridgeways,3,3,"3br Townhouse, Ridgeways","KSh 200,000/ month"
4 Bed House with En Suite at Kitisuru,"Kitisuru, Westlands",4,4,Spacious 4 Bedroom House in Kitisuru,"KSh 500,000/ month"
3 Bed Townhouse with En Suite at Five Star Paradise,"Five Star Paradise, Runda, Westlands",3,3,"3br Townhouse, Five Star Paradise","KSh 250,000/ month"
2 Bed House with En Suite in Runda,"Runda, Westlands",2,2,Luxurious 2 bedroom house for rent in Runda,"KSh 150,000/ month"
3 Bed House with En Suite in Donholm,Donholm,3,2,Sunrise Estate Bungalow,"KSh 55,000/ month"
3 Bed Townhouse with En Suite in Ngong Road,Ngong Road,3,2,Executive Townhouse,"KSh 120,000/ month"
2 Bed House with En Suite at Nyari,"Nyari, Westlands",2,2,2brd master ensute cottage nyari estate,"KSh 100,000/ month"
4 Bed Townhouse with En Suite in Kilimani,Kilimani,4,3,4 Bedroom Townhouse To Let In Kilimani,"KSh 180,000/ month"
3 Bed Townhouse with En Suite at Riverside Drive,"Riverside drive, Riverside, Westlands",3,3,Prestigious Three bedroom Townhouse,"KSh 300,000/ month"
5 Bed Townhouse with En Suite in Brookside,"Brookside, Westlands",5,5,A Spacious  5 Bedroom Townhouse To Let in Brook...,"KSh 200,000/ month"
4 Bed Villa with En Suite in Kitisuru,"Kitisuru, Westlands",4,5,4-bedroom townhouse available for rent in Kitis...,"KSh 350,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,3,Stunning four-bedroom fully furnished cottage l...,"KSh 500,000/ month"
5 Bed House with En Suite in Karen,Karen,5,5,Contemporary 5-bedroom townhouse is located in...,"KSh 500,000/ month"
2 Bed House with En Suite in Karen,Karen,2,2,Charming 2-Bedroom Cottage for Rent in Karen –...,"KSh 100,000/ month"
4 Bed House with En Suite in Karen,Karen,4,4,Elegant 4-Bedroom Home for Rent in Karen – Ksh...,"KSh 250,000/ month"
4 Bed Townhouse with En Suite in Lavington,"Lavington Nairobi, Lavington",4,5,A 4bdrm townhouse to let in lavington.,"KSh 350,000/ month"
5 Bed Townhouse with En Suite in Membley,"Membley, Ruiru",5,5,A 5 bedroom  house to let in. Membly,"KSh 80,000/ month"
5 Bed Townhouse with En Suite in Kilimani,Kilimani,5,5,5 bedroom to let in  killimani,"KSh 300,000/ month"
3 Bed Townhouse with En Suite at Runda,"Runda, Westlands",3,3,Modern 3-Bedroom Townhouse in  Runda ( COMES UN...,"KSh 580,000/ month"
3 Bed House with En Suite at Karen,"karen, Karen",3,3,Lovely three bedroom house,"KSh 180,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Rustic Five-Bedroom House for Rent in Runda,"KSh 450,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Exquisite 5-Bedroom House for Rent in Runda,"KSh 450,000/ month"
3 Bed Townhouse with En Suite at Githingiri Blue Post Thika Town,"Githingiri Blue post Thika Town, Thika",3,2,3 Bedroom to let Githingiri Thika Town,"KSh 75,000/ month"
5 Bed House with En Suite at Bomas Cl,"Bomas cl, Karen",5,5,Furnished Highly Luxurious 5-Bedroom Villa in K...,"KSh 720,000/ month"
4 Bed Townhouse with En Suite in Rosslyn,"Rosslyn, Westlands",4,,4 Bedroom Townhouse+ Dsq for rent in Rosslyn,"KSh 590,000/ month"
4 Bed Townhouse with En Suite at Brookside,"0326n, Brookside, Westlands",4,4,4-bedroom apartement,"KSh 270,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,5 Bedroom home in Runda,"KSh 500,000/ month"
3 Bed House with En Suite at Mombasa Road,"0326n, mombasa road, Mombasa Road",3,3,3-bedroom apartment in mombasa road,"KSh 35,000/ month"
4 Bed Townhouse with En Suite at Kileleshwa,"0326n, kileleshwa, Kilimani",4,4,4-bedroom apartment in kileleshwa,"KSh 380,000/ month"
4 Bed Townhouse with En Suite at Convent Drive,"89, Convent Drive, Lavington",4,4,Lavington,"KSh 250,000/ month"
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",4,4,Cozy Retreat Four-Bedroom House in Kitisuru,"KSh 750,000/ month"
5 Bed House with En Suite at Mountain View Estate,"0326n, mountain view estate, Mountain View, Westlands",5,5,5-bedroom apartment in mountain view,"KSh 140,000/ month"
4 Bed House with Swimming Pool at Miotoni Road,"23, Miotoni Road, Karen",4,5,Karen miotoni,"KSh 350,000/ month"
3 Bed House with En Suite at Old Muthaiga,"0326n, old muthaiga, Muthaiga",3,3,3-bedroom house in old muthaiga,"KSh 350,000/ month"
4 Bed Townhouse with En Suite in Ridgeways,Ridgeways,4,5,Exclusive 4 Bedroom Townhouse All En-suite Plus...,"KSh 280,000/ month"
4 Bed Villa with En Suite at Kitisuru,"kitisuru, Kitisuru, Westlands",4,5,Luxury Family Living! Kitisuru Four Bedroom Tow...,"KSh 320,000/ month"
5 Bed House with En Suite at New Kitisuru,"New Kitisuru, Kitisuru, Westlands",5,6,Welcoming! Luxury Kitisuru Five Bedroom Family...,"KSh 450,000/ month"
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",5,5,Elegant 5-Bedroom House for Rent in Kitisuru,"KSh 400,000/ month"
4 Bed Villa with En Suite at Mombasa Road,"Mombasa Road, Athi River",4,5,4 Bedroom Villa all Ensuite Plus Dsq on a 1/4 s...,"KSh 150,000/ month"
3 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",3,3,Luxurious 3-Bedroom House with Gym & Heated Poo...,"KSh 330,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Elegant 5-Bedroom House for Rent in Runda,"KSh 450,000/ month"
4 Bed House with En Suite at Runda,"Runda, Westlands",4,4,"4br House, Runda","KSh 230,000/ month"
5 Bed House with En Suite at Runda,"Runda, Westlands",5,5,"5br House, Runda","KSh 500,000/ month"
4 Bed House with En Suite at Runda,"Runda, Westlands",4,4,"4br House, Runda","KSh 550,000/ month"
4 Bed Townhouse with En Suite at Karen,Karen,4,4,"4br Townhouse, Karen","KSh 450,000/ month"
5 Bed Townhouse with En Suite at Kibagare,"Kibagare, Loresho, Westlands",5,5,"5br Townhouse, Loresho","KSh 585,000/ month"
5 Bed House with Staff Quarters at Runda,"Runda, Westlands",5,4,"5br House, Runda","KSh 250,000/ month"
6 Bed House with En Suite at Runda,"Runda, Westlands",6,6,"6br House, Runda","KSh 400,000/ month"
4 Bed Villa with En Suite at Tigoni,"Ndederu, Tigoni, Redhill",4,5,4Bedrooms villa plus sq For Rent at Redhill roa...,"KSh 160,000/ month"
4 Bed House with En Suite in Loresho,"Loresho, Westlands",4,2,4BEDROOM BUNGALOW FOR RENT IN LORESHO,"KSh 250,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,AN EXECUTIVE 5BEDROOM TOWN HOUSE FOR RENT IN LA...,"KSh 260,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,AN EXECUTIVE 5BEDROOM TOWN HOUSE FOR RENT IN LA...,"KSh 450,000/ month"
4 Bed Townhouse with Staff Quarters in Valley Arcade,"Lavington Nairobi, Valley Arcade",4,3,A 4bdrm townhouse to let in lavington.,"KSh 180,000/ month"
4 Bed Townhouse with En Suite in Lavington,Lavington,4,4,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR RENT IN LA...,"KSh 350,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Excellently done 5 Bedrooms House,"KSh 500,000/ month"
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",4,4,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR RENT IN KI...,"KSh 320,000/ month"
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",4,4,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR RENT IN KI...,"KSh 380,000/ month"
4 Bed House with En Suite at Runda,"Runda, Westlands",4,4,PRESTIGIOUS 4 BEDROOM PLUS DSQ VILLA FOR RENT,"KSh 420,000/ month"
4 Bed House with En Suite at Lavington,Lavington,4,3,4 Bedroom house to let in Lavington,"KSh 160,000/ month"
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",4,3,4 beautifully done 4 Maisonettee,"KSh 150,000/ month"
4 Bed Townhouse with En Suite at Lavington,Lavington,4,3,4 Bedroom townhouse to let in Lavington.,"KSh 160,000/ month"
4 Bed House with En Suite in Westlands Area,"Westlands Area, Westlands",4,3,Elegantly done 4 Bedrooms Bungalow House,"KSh 400,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,5,AN AMAZING MODERN TOWNHOUSE IN A GATED COMMUNIT...,"KSh 180,000/ month"
5 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,5,5,5 Bedroom townhouse to let kileleshwa-Othaya Ro...,"KSh 350,000/ month"
5 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",5,5,Exquisite Five Bedroom Mansion for Rent in Lowe...,"KSh 1,500,000/ month"
4 Bed House with En Suite at Karen,"karen, Karen",4,3,Spacious four bedroom house,"KSh 260,000/ month"
5 Bed Villa with En Suite at Lavington,"lavington, Lavington",5,4,Mordern five bedroom townhouse,"KSh 250,000/ month"
4 Bed Townhouse with En Suite at Runda,"Runda, Westlands",4,4,Luxurious 4-Bedroom Ensuite House for Rent in R...,"KSh 645,000/ month"
4 Bed House with En Suite in Nyari,"Nyari, Westlands",4,4,4 bedroom house to rent in Nyari,"KSh 400,000/ month"
4 Bed House with En Suite at Kitisuru,"kitisuru, Kitisuru, Westlands",4,4,Brand New Kitisuru 4 bedroom House plus 1 bedro...,"KSh 415,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,4 bedroom house to rent in Runda,"KSh 500,000/ month"
5 Bed House with En Suite in Lavington,Lavington,5,N/A,5 bedrooms all Ensuite for rent in lavington.,"KSh 450,000/ month"
2 Bed House with En Suite at Westland,"WESTLAND, Runda, Westlands",2,3,2-Bedroom Fully Furnished House for Rent – Rund...,"KSh 100,000/ month"
3 Bed House with En Suite at Bondeni Road,"Bondeni Road, Nyali Area, Nyali",3,4,Three Bedroom All Ensuite Maisonetter For Rent...,"KSh 110,000/ month"
5 Bed House with En Suite at Un,"UN, Gigiri, Westlands",5,5,Exquisite 5-Bedroom Home for Rent in Prestigiou...,"KSh 400,000/ month"
5 Bed Townhouse with En Suite at Kyuna,"Kyuna, Westlands",5,5,🏡 UN-Approved Security | Exclusive 5-Bedroom V...,"KSh 600,000/ month"
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",4,4,Charming Four-Bedroom Townhouse for Rent in Run...,"KSh 350,000/ month"
5 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",5,5,Excellently done 5 Bedrooms Villa,"KSh 4,250/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,elegantly done 4 bedrooms House,"KSh 450,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Executive 4 Bedrooms House,"KSh 5,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Elegantly 4 Bedrooms Guest Wing,"KSh 270,000/ month"
1 Bed House with Backup Generator in Runda,"Runda, Westlands",1,,1 bedrooms furnished in Runda,"KSh 130,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Elegant 4-Bedroom House for Rent in Runda,"KSh 390,000/ month"
5 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",5,6,5-Bedroom Townhouse for Rent in Spring Valley,"KSh 370,000/ month"
5 Bed House with En Suite at Loresho,"01, loresho, Loresho, Westlands",5,5,Experience Unmatched Luxury: Newly Built 6-Bedr...,"KSh 550,000/ month"
5 Bed House with En Suite in Nyari,"Nyari, Westlands",5,6,5 Bedrooms standalone house to let,"KSh 600,000/ month"
5 Bed Townhouse with En Suite at Miotoni,"Miotoni, Karen",5,5,5 bedrooms+dsq to let in miotoni price 350k,"KSh 350,000/ month"
5 Bed Villa with En Suite at Karen,Karen,5,5,5 bedroom villa to let in Karen price $5000,"KSh 650,000/ month"
5 Bed Villa with En Suite at Ndege Road,"Ndege road, Karen",5,6,Stunning 5-Bedroom House for Rent in Karen,"KSh 650,000/ month"
5 Bed Villa with En Suite at Karen Plains,"Karen plains, Karen",5,5,5 bedroom l+dsq in a gated community to let,"KSh 430,000/ month"
4 Bed Townhouse with En Suite at Lavington Green,"51, Lavington green, Lavington",4,5,Lavington green 4 bedrooms for rent,"KSh 240,000/ month"
4 Bed Townhouse with En Suite at Lavington Road,"44, Lavington Road, Lavington",4,5,Lavington 4 bedrooms for rent,"KSh 175,000/ month"
4 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",4,4,Charming & Exquisite Four-Bedroom House for Ren...,"KSh 450,000/ month"
4 Bed Townhouse with En Suite at Ineza,"Ineza, Runda, Westlands",4,3,"4br Townhouse, Runda, Ineza","KSh 265,000/ month"
4 Bed Townhouse with En Suite at Runda,"Runda, Westlands",4,4,"4br Townhouse, Runda","KSh 425,000/ month"
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",4,4,Stunning Four-Bedroom House in Spring Valley,"KSh 450,000/ month"
4 Bed Townhouse with En Suite at Runda,"Runda, Westlands",4,4,"4br Townhouse, Runda","KSh 350,000/ month"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,5 bedroom townhomes for rent,"KSh 330,000/ month"
4 Bed Townhouse with En Suite at Lavington,Lavington,4,3,Gorgeous 4 bedrooms townhouse plus family rm an...,"KSh 175,000/ month"
4 Bed Townhouse with En Suite at Kiambu Road,Kiambu Road,4,4,Exquisite Unfurnished 4-Bedroom Townhouse for R...,"KSh 230,000/ month"
4 Bed House with En Suite in Westlands Area,"Westlands Area, Westlands",4,4,Commercial Property To LET,"KSh 300,000/ month"
4 Bed House with En Suite at Tigoni,"Main, Tigoni, Limuru",4,5,"Furnished 4Bedrooms with 10beds, well curated G...","KSh 350,000/ month"
4 Bed House with En Suite in Muthaiga,Muthaiga,4,4,Ambassadorial / Consul home To LET,Price not communicated
4 Bed House with En Suite in Tigoni,"Tigoni, Limuru",4,4,Country's side Cottage with Vast Compound,"KSh 130,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Magnificent 5 Bedroom villas To LET,"KSh 325,000/ month"
5 Bed House with En Suite in Tigoni,"Tigoni, Limuru",5,5,Modern 5Br countryside Villa,"KSh 150,000/ month"
2 Bed House with En Suite in Tigoni,"Tigoni, Limuru",2,2,Staycation Airbnb for Short stays,"KSh 15,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Spacious 4Br villas + Dsq To LET,"KSh 250,000/ month"
5 Bed Townhouse with En Suite in Karen,Karen,5,5,Elegant 5-Bedroom Standalone Home for Rent in K...,"KSh 350,000/ month"
4 Bed Townhouse with En Suite at Miotoni,"miotoni, Karen",4,4,Exquisite 4Bedroom townhouse  for rent in Karen...,"KSh 350,000/ month"
4 Bed Townhouse with En Suite at Plains,"plains, Karen",4,4,A 4 bedroom standalone house karen plains,"KSh 350,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,5,Magnificent 5Br To LET,"KSh 450,000/ month"
4 Bed House with En Suite in Garden Estate,"Garden Estate, Roysambu",4,4,Exquisite and Modern 4 Bedrooms To LET.,"KSh 300,000/ month"
5 Bed Villa with En Suite at Karen,Karen,5,5,5 bedroom+dsq to let in Karen,"KSh 550,000/ month"
3 Bed House with En Suite in Tigoni,"Tigoni, Limuru",3,4,Welcome to Rolling Hills + Rolling Hills Estate...,"KSh 150,000/ month"
5 Bed Townhouse with En Suite in Karen,Karen,5,6,5 bedroom  with sq to let in karen,"KSh 550,000/ month"
4 Bed House with En Suite at Runda Drive,"34, Runda drive, Runda, Westlands",4,4,Elegant 4-Bedroom Bungalow for Rent in Runda –...,"KSh 300,000/ month"
5 Bed Villa with En Suite at Lavington,"02, Lavington",5,6,Executive 5 Bedroom Villa for Rent in Lavington,"KSh 300,000/ month"
5 Bed House with En Suite in Westlands Area,"Westlands Area, Westlands",5,6,Renovated  5br Main House Corner Unit To LET,"KSh 150,000/ month"
3 Bed House with En Suite in Tigoni,"Tigoni, Limuru",3,4,The Hill-Top Meadow country house to Let,"KSh 200,000/ month"
3 Bed House with En Suite in Redhill,Redhill,3,4,Town houses To LET,"KSh 100,000/ month"
4 Bed House with En Suite in Karura,"Karura, Westlands",4,4,Futuristic 4br +Dsq houses To LET,"KSh 270,000/ month"
3 Bed House with En Suite in Karura,"Karura, Westlands",3,2,Futuristic 3br +Dsq houses To LET,"KSh 225,000/ month"
4 Bed House with En Suite in Tigoni,"Tigoni, Limuru",4,3,Country's side Cottage with Vast Compound,"KSh 200,000/ month"
5 Bed House with En Suite at Lavington,"lavington, Lavington",5,5,Beautiful five bedroom  house,"KSh 350,000/ month"
5 Bed Townhouse with En Suite at Lavington,Lavington,5,5,Modern 5 Bedroom Townhouse in Lavington to Let,"KSh 500,000/ month"
5 Bed House with En Suite at Karen,Karen,5,5,Elegant 5-Bedroom Standalone Home for Rent in K...,"KSh 350,000/ month"
5 Bed House with En Suite at Old Muthaiga,"Old Muthaiga, Muthaiga",5,5,5 bedroom house in Old Muthaiga,"KSh 640,000/ month"
4 Bed Townhouse with En Suite at Kileleshwa Estate Nairobi,"0324J, Kileleshwa Estate Nairobi, Kileleshwa",4,4,4 Bedrooms Triplex Townhouses in Kileleshwa Nai...,"KSh 380,000/ month"
4 Bed Villa with En Suite at Lavington,"lavington, Lavington",4,5,Delightful Home! Lavington Four Bedroom Townhou...,"KSh 350,000/ month"
4 Bed House with En Suite in Muthaiga,Muthaiga,4,7,Exquisite newly 4 bedroom (All en-suite) house...,"KSh 230,000/ month"
4 Bed House with En Suite at Kitisuru,"Kitisuru, Westlands",4,5,Welcoming! Kitisuru Four Bedroom Family Home in...,"KSh 350,000/ month"
6 Bed House with En Suite at Kibagare,"Kibagare, Loresho, Westlands",6,6,Loresho kibagare 6brd all ensuited stand alone...,"KSh 630,000/ month"
3 Bed House with En Suite at Waiyaki Way,"Waiyaki Way, Kikuyu Town, Kikuyu",3,2,3 bedroom master ensuite house in sigona,"KSh 50,000/ month"
3 Bed House with En Suite at Near Signature Mall Sabaki Estate,"0324J, near Signature Mall Sabaki Estate, Mombasa Road",3,3,"3  bedroom bungalow along Mombasa road, near Si...","KSh 35,000/ month"
5 Bed House with En Suite in Kiambu Road,Kiambu Road,5,6,A Spacious Five Bedroom House To Let Ridgeways...,"KSh 250,000/ month"
4 Bed Villa with En Suite in Kiambu Road,Kiambu Road,4,5,AN AMAZING FOUR BEDROOM VILLA IN A GATED COMMUN...,"KSh 330,000/ month"
4 Bed House with En Suite at New Kitisuru,"New kitisuru, Kitisuru, Westlands",4,4,Beautiful and Spacious 4 bedroom villa to let i...,"KSh 400,000/ month"
5 Bed Townhouse with En Suite at Mountain View Estate Nairoibi,"0324J, Mountain view Estate Nairoibi, Mountain View, Westlands",5,6,5 Bedrooms House in Mountain View Estate,"KSh 140,000/ month"
4 Bed Townhouse at Garden City,"Garden City, Thika Road",4,3,Exquisite 4 Bedroom Townhouse in Garden City,"KSh 200,000/ month"
5 Bed House with En Suite at Kyuna Road,"34, Kyuna Road, Kyuna, Westlands",5,6,RentalsHousesNewly Built 5-Bedroom Rental In Lo...,"KSh 500,000/ month"
5 Bed House with En Suite in Loresho,"Loresho, Westlands",5,6,RentalsHousesNewly Built 5-Bedroom Rental In Lo...,"KSh 550,000/ month"
3 Bed Townhouse with En Suite at Thome,"Thome, Roysambu",3,4,3bedroom,"KSh 150,000/ month"
5 Bed Townhouse with Staff Quarters at Royal Homes,"89, Royal Homes, Lavington",5,6,Lavington 5 Bedroom Townhouse to Rent in Laving...,"KSh 180,000/ month"
5 Bed Townhouse with En Suite at Convent Drive,"89, Convent Drive, Lavington",5,6,Lavington 4 townhouse with sq for rent in Lavin...,"KSh 175,000/ month"
4 Bed Villa in Windsor,"Windsor, Roysambu",4,3,Luxury 4 Bedroom for Rent at Windsor,"KSh 481,000/ month"
4 Bed House with En Suite at Karen,"01, karen, Karen",4,4,Executive 4 Bedroom House All Bedroom En-suite...,"KSh 400,000/ month"
6 Bed Villa with En Suite at Off Loresho Ridge,"Off Loresho Ridge, Loresho, Westlands",6,6,Newly built 5 & 6 bedroom luxury houses( in a g...,"KSh 650,000/ month"
5 Bed House with En Suite at Off Kitisuru Rd,"Off Kitisuru rd, Kitisuru, Westlands",5,5,Beautiful 5 bedroom house for rent in old Kitis...,"KSh 550,000/ month"
2 Bed House with En Suite at Runda,"Runda, Westlands",2,2,2 bedroom fully furnished with mature garden,"KSh 230,000/ month"
5 Bed Townhouse with En Suite at Chalbi Drive,"44, Chalbi Drive, Lavington",5,5,Lavington in a well secured gated community thi...,"KSh 350,000/ month"
4 Bed Townhouse in Kiambu Town,Kiambu Town,4,4,Exquisite 4 Bedroom Townhouse for Rent,"KSh 105,000/ month"
6 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",6,6,Magnificent Newly Built Villas with Swimming Po...,"KSh 550,000/ month"
